😀	grinning face
😃	grinning face with big eyes
😄	grinning face with smiling eyes
😁	beaming face
😆	grinning squinting face
😅	grinning face with sweat
🤣	rolling on the floor laughing
😂	face with tears of joy
🙂	slightly smiling face
🙃	upside-down face
😉	winking face
😊	smiling face with smiling eyes
😇	smiling face with halo
🥰	smiling face with hearts
😍	heart eyes
🤩	star-struck
😘	face blowing a kiss
😋	face savoring food
😛	face with tongue
😜	winking face with tongue
🤪	zany face
🤔	thinking face
🤨	face with raised eyebrow
😐	neutral face
😑	expressionless face
😶	face without mouth
🙄	face with rolling eyes
😏	smirking face
😒	unamused face
😞	disappointed face
😔	pensive face
😢	crying face
😭	loudly crying face
😤	face with steam from nose
😠	angry face
😡	pouting face
🤯	exploding head
😳	flushed face
🥵	hot face
🥶	cold face
😱	face screaming in fear
😨	fearful face
😰	anxious face with sweat
😥	sad but relieved face
😓	downcast face with sweat
🤗	hugging face
🤭	face with hand over mouth
🤫	shushing face
🤥	lying face
😴	sleeping face
🥱	yawning face
😪	sleepy face
🤤	drooling face
😵	dizzy face
🥴	woozy face
🤢	nauseated face
🤮	vomiting face
🤧	sneezing face
😷	face with medical mask
🥳	partying face
🤠	cowboy hat face
🥸	disguised face
😎	smiling face with sunglasses
🤓	nerd face
🧐	face with monocle
😈	smiling face with horns
👿	angry face with horns
👍	thumbs up
👎	thumbs down
👌	ok hand
✌️	victory hand
🤞	crossed fingers
🤟	love-you gesture
🤘	horns
👏	clapping hands
🙌	raising hands
🙏	folded hands
👋	waving hand
🤝	handshake
💪	flexed biceps
🖐️	hand with fingers splayed
✋	raised hand
👆	backhand index pointing up
👉	backhand index pointing right
👈	backhand index pointing left
🫶	heart hands
🤙	call me hand
❤️	red heart
🧡	orange heart
💛	yellow heart
💚	green heart
💙	blue heart
💜	purple heart
🖤	black heart
🤍	white heart
🤎	brown heart
💔	broken heart
❤️‍🔥	heart on fire
💕	two hearts
💖	sparkling heart
💗	growing heart
💓	beating heart
💞	revolving hearts
💘	heart with arrow
💝	heart with ribbon
✨	sparkles
🔥	fire
💯	hundred points
⭐	star
🌟	glowing star
⚡	high voltage
💥	collision
💫	dizzy
🎉	party popper
🎊	confetti ball
🎈	balloon
🎁	wrapped gift
🏆	trophy
🥇	1st place medal
🚀	rocket
🌈	rainbow
☀️	sun
🌙	crescent moon
☁️	cloud
❄️	snowflake
☕	hot beverage
🍕	pizza
🍔	hamburger
🍎	red apple
🍺	beer mug
🎮	video game
🎧	headphone
📷	camera
💻	laptop
📱	mobile phone
⌚	watch
📌	pushpin
📎	paperclip
🔗	link
✅	check mark button
❌	cross mark
❓	red question mark
❗	red exclamation mark
⚠️	warning
🚫	prohibited
♻️	recycling symbol
✔️	check mark
➡️	right arrow
⬅️	left arrow
⬆️	up arrow
⬇️	down arrow
🔒	locked
🔓	unlocked
🔑	key
🐛	bug
🐍	snake
🐧	penguin
🐱	cat face
🐶	dog face
🦄	unicorn
